Grade,Day,PeriodStart,PeriodEnd,Subject,Teacher
B8B,Monday,11:25,12:20,,
B8B,Monday,12:20,13:15,,
B8B,Monday,13:15,13:30,Lunch,
B8B,Monday,13:30,14:25,,
B8B,Monday,14:45,15:20,Extra Curricular,
B8B,Tuesday,08:00,08:55,,
B8B,Tuesday,08:55,09:50,,
B8B,Tuesday,09:50,10:45,,
B8B,Tuesday,10:45,11:25,Break,
B8B,Tuesday,11:25,12:20,,
B8B,Tuesday,12:20,13:15,,
B8B,Tuesday,13:15,13:30,Lunch,
B8B,Tuesday,13:30,14:25,,
B8B,Tuesday,14:45,15:20,Extra Curricular,
B8B,Wednesday,08:00,08:55,,
B8B,Wednesday,08:55,09:50,,
B8B,Wednesday,09:50,10:45,,
B8B,Wednesday,10:45,11:25,Break,
B8B,Wednesday,11:25,12:20,,
B8B,Wednesday,12:20,13:15,,
B8B,Wednesday,13:15,13:30,Lunch,
B8B,Wednesday,13:30,14:25,,
B8B,Wednesday,14:45,15:20,Extra Curricular,
B8B,Thursday,08:00,08:55,,
B8B,Thursday,08:55,09:50,,
B8B,Thursday,09:50,10:45,,
B8B,Thursday,10:45,11:25,Break,
B8B,Thursday,11:25,12:20,,
B8B,Thursday,12:20,13:15,,
B8B,Thursday,13:15,13:30,Lunch,
B8B,Thursday,13:30,14:25,,
B8B,Thursday,14:45,15:20,Extra Curricular,
B8B,Friday,08:00,08:55,,
B8B,Friday,08:55,09:50,,
B8B,Friday,09:50,10:45,,
B8B,Friday,10:45,11:25,Break,
B8B,Friday,11:25,12:20,,
B8B,Friday,12:20,13:15,,
B8B,Friday,13:15,13:30,Lunch,
B8B,Friday,13:30,14:25,,
B8B,Friday,14:45,15:20,Extra Curricular,
B9,Monday,08:00,08:55,,
B9,Monday,08:55,09:50,,
B9,Monday,09:50,10:45,,
B9,Monday,10:45,11:25,Break,
B9,Monday,11:25,12:20,,
B9,Monday,12:20,13:15,,
B9,Monday,13:15,13:30,Lunch,
B9,Monday,13:30,14:25,,
B9,Monday,14:45,15:20,Extra Curricular,
B9,Tuesday,08:00,08:55,,
B9,Tuesday,08:55,09:50,,
B9,Tuesday,09:50,10:45,,
B9,Tuesday,10:45,11:25,Break,
B9,Tuesday,11:25,12:20,,
B9,Tuesday,12:20,13:15,,
B9,Tuesday,13:15,13:30,Lunch,
B9,Tuesday,13:30,14:25,,
B9,Tuesday,14:45,15:20,Extra Curricular,
B9,Wednesday,08:00,08:55,,
B9,Wednesday,08:55,09:50,,
B9,Wednesday,09:50,10:45,,
B9,Wednesday,10:45,11:25,Break,
B9,Wednesday,11:25,12:20,,
B9,Wednesday,12:20,13:15,,
B9,Wednesday,13:15,13:30,Lunch,
B9,Wednesday,13:30,14:25,,
B9,Wednesday,14:45,15:20,Extra Curricular,
B9,Thursday,08:00,08:55,,
B9,Thursday,08:55,09:50,,
B9,Thursday,09:50,10:45,,
B9,Thursday,10:45,11:25,Break,
B9,Thursday,11:25,12:20,,
B9,Thursday,12:20,13:15,,
B9,Thursday,13:15,13:30,Lunch,
B9,Thursday,13:30,14:25,,
B9,Thursday,14:45,15:20,Extra Curricular,
B9,Friday,08:00,08:55,,
B9,Friday,08:55,09:50,,
B9,Friday,09:50,10:45,,
B9,Friday,10:45,11:25,Break,
B9,Friday,11:25,12:20,,
B9,Friday,12:20,13:15,,
B9,Friday,13:15,13:30,Lunch,
B9,Friday,13:30,14:25,,
B9,Friday,14:45,15:20,,
